지역(대),지역(소),매장명,테마명,장르,난이도,시간,내용,최소인원,최대인원,메인사진,예약URL,오픈일,추천율,인원,유저_난이도,유저_공포도,유저_활동성
경상,부산,게임오브마인드 서면,위험한 마법사(블랙 매직),판타지 범죄,3,60,"억울한 누명을 쓰고 감옥에 수감된 지 11년이 지난 지금에서야 나에게 누명을 씌운 마법사가 살아 있음을 알게 되었다.
감옥을 탈출하고 마법학교로 몰래 들어가서 그의 흔적을 찾아봐야 한다.
마법학교 학생들이 일어나기 전에 그 마법사를 찾아야한다!",2,6,http://game-of-minds.com/images/quests/interstellar/bm51.jpg,http://game-of-minds.com/quest/busan/seo-myeon/blackmagicsomyeon/,2018.9,0,0,0,0,0
충청,대전,고스트키,내 부인이 사라졌어요,코미디,3,60,"우리는 잘 나가는 탐정들이다.
어느날, 탐정소에 막대한 금액이 들어왓다.
우리의 성공률이 100%를 달성하는 만큼 비싼 몸값이지만 너무나도 막대한 금액이다.
무언가 수상쩍은데..

냄새가 나지만 돈을 받았으면 해결해야 된다!
의뢰 내용은 사라진 부인을 찾아달라는 것이다.
우선 단서들을 찾기 위해 그 집으로 찾아가는데...

과연, 당신은 사라진 부인을 찾을 수 있을 것인가?",2,6,http://www.ghostkey.co.kr/img/section03_over03.jpg,http://www.ghostkey.co.kr/bbs/board.php?bo_table=board0301,2017.4,0,1,0,0,0
충청,대전,고스트키,학교,추리,4,60,"학창시절 알고 지내던 친구에게 편지가 날라왔다.
이 친구는 동창회에도 안 나오던 친구인데,
웬일인지 오늘 모교에서 꼭 보자고 하는데...

반가운 마음에 모교의 교실에 들어가는 순간.. 콰쾅!
문이 철컥...! 닫히는 소리와 으스스한 기운이 감도는데..

과연, 날 부른 이 친구의 목적을 알 수 있을 것인가?",2,6,http://www.ghostkey.co.kr/img/section03_over02.jpg,http://www.ghostkey.co.kr/bbs/board.php?bo_table=board0301,2017.4,0,1,0,0,0
충청,대전,고스트키,그 살인자의 집,공포 스릴러,4,60,"뚜벅뚜벅.. 퍽!
걸어가던 도중 쓰러졌고 개어나보니 모르는 집이다.

주변을 둘러보니 핏자국과 피내음이 가득한데..!
도망가기 위해서 문을 열엉보려고 하지만..
문은 잠겨져있고..

도망가기 위해선 정신 똑바로 차려야 한다.

과연, 당신은 살인자의 집에서 무사하게 탈출할 수 있을 것인가?",2,6,http://www.ghostkey.co.kr/img/section03_over04.jpg,http://www.ghostkey.co.kr/bbs/board.php?bo_table=board0301,2017.4,0,1,0,0,0
충청,대전,고스트키,드라큘라 백작의 성,공포 스릴러,3,60,"유럽 모스크바에는 안개로 가득한 곳이 있다.
이 곳은 100년 전부터 사람들이 실종되는 곳인데
절대 돌아올 수 없다는 이곳에 당신이 가게 되었다.

안개 깊숙히 들어가보니..
잔뜩 피내음과 안개가 가득한 오래된 성이 보인다.
이 성엔 무슨 일이...?

과연, 당신은 드라큘라 성에서 무사히 나올 수 있을 것인가?",2,6,http://www.ghostkey.co.kr/img/section03_over01.jpg,http://www.ghostkey.co.kr/bbs/board.php?bo_table=board0301,2017.4,0,1,0,0,0
경기,수원,골든타임이스케이프,매화,역사,4,65,오늘은 유난히 학교가 가기 싫다.,2,4,http://xn--bb0b44mb8pfwi.kr/file/theme/1_a.jpg,http://xn--bb0b44mb8pfwi.kr/layout/res/home.php?go=rev.make&s_theme_num=1,2021.8.11,4.45,19,4.12,1.08,0.25
경기,수원,골든타임이스케이프,순백향,드라마,4,65,"나는 10살 순호라고해!
오늘도 뭐하고 놀지 생각만해도 신나는걸?",2,4,http://xn--bb0b44mb8pfwi.kr/file/theme/2_a.jpg,http://xn--bb0b44mb8pfwi.kr/layout/res/home.php?go=rev.make&s_theme_num=2,2021.8.11,4.4,26,3.81,1.33,0.85
경기,수원,골든타임이스케이프,수곡리,추리 스릴러,3,60,무릇 관리란 민생을 위해 일해야 하는 법.,2,5,http://xn--bb0b44mb8pfwi.kr/file/theme/5_a.jpg,http://xn--bb0b44mb8pfwi.kr/layout/res/home.php?go=rev.make&s_theme_num=5,2021.11.21,3.9,27,3.04,1.58,1.38
경기,수원,골든타임이스케이프,3318,잠입/탈출,3,50,"어느날 철창 안으로 스며든 빛.

그건 희망이었을까?",2,3,http://xn--bb0b44mb8pfwi.kr/file/theme/4_a.jpg,http://xn--bb0b44mb8pfwi.kr/layout/res/home.php?go=rev.make&s_theme_num=4,2021.12.7,4.15,18,2.6,0,2.5
경상,구미,구미랑방탈출카페,무속인 살인사건,추리,4,60,"TV에 출연할 정도로 유명한 무속인이 어느날 싸늘한 시체로 발견?
피해자는 TV에 출연하여 화려한 달변과 점술로 유명해진 박수무당으로 어느 날
자신의 점집에서 잘린 머리가 불에 탄 채 단골 고객에게 발견되었다.
과연 어떠한 연유로 박무당은 죽음을 맞이해야 했는가?
빛나는 추리로 진실을 파헤쳐 보자.",2,6,https://naverbooking-phinf.pstatic.net/20210304_36/1614829447996Gbvbc_JPEG/%C5%D7%B8%B63.jpg?type=w1500_60_sharpen,https://booking.naver.com/booking/12/bizes/491000/items/3825314,2019.3.4,0,0,0,0,0
경상,구미,구미랑방탈출카페,반하셨군요!,로맨스,4,60,"방탈출 카페에서 알바하는 같은 과 여사친(?)
미정이가 은밀하게 나에게 말했다.
""오늘 저녁에 나 알바하는데 올래?""",2,6,https://naverbooking-phinf.pstatic.net/20211201_123/1638360095065jYAoS_PNG/%B9%DD%C7%CF%BC%CC%B1%BA%BF%E4_%BB%E7%C1%F8.png?type=w1500_60_sharpen,https://booking.naver.com/booking/12/bizes/491000/items/3825313,2020.6.6,0,1,4,2.5,0
경상,구미,구미랑방탈출카페,역대급 사생팬,스릴러,3,60,"구미랑 탐정사무소에 신입 보조로 출근한 첫 날!
이제는 한물간... 옛날 유명 연예인이 의뢰를 해왔다.
스케쥴 때문에 자주 집을 비우는데 그때마다 누군가 집안을 드나든다는 내용!
만약 이게 사실이라면 정말 심각한 사건인데...
구미랑 탐정사무에서 이번 사건도 해결해주자!",2,6,https://naverbooking-phinf.pstatic.net/20211104_47/1636018944105dnWeL_JPEG/%BF%AA%B4%EB%B1%DE_%BB%E7%BB%FD%C6%D2_%BB%E7%C1%F8.jpeg?type=w1500_60_sharpen,https://booking.naver.com/booking/12/bizes/491000/items/3825242,2021.11,0,1,1,0,1
경상,구미,구미랑방탈출카페,위험한 레시피,공포 스릴러,5,60,"연일 매스컴에 보도되는 이곳은 3대 맛집으로까지 소문이 자자한 식당.
이 식당은 3개월전만 해도 폐업설이 돌 정도로 손님이 없고, 장소까지 외딴곳이라 으스스하기 까지 한 곳이었다.
3개월전 식당주인의 각성으로 전국의 갖은 레시피를 수집하여
마침내 전국에서 입소문이 자자한 명소가 되었다고 하는데...
까다로운 미식가로 전국의 유명한 맛집을 순방하는 당신은 이곳 식당의 비밀이 궁금하여 견딜수 없게되고
마침내 맛의 비밀을 파헤쳐보려한다.
과연 이곳 레시피의 비밀은 무엇일까?",2,6,https://naverbooking-phinf.pstatic.net/20210304_80/1614829490909cdUO7_JPEG/%C5%D7%B8%B62.jpg?type=w1500_60_sharpen,https://booking.naver.com/booking/12/bizes/491000/items/3825315,2018.1,0,1,4.5,1.5,1.5
경기,안양,나비잠 방탈출카페,빛과 그림자,추리,3,60,"옐로우는 감옥에 가고, 사건은 영원히 종결된 것만 같았다.
이미 30대 때 세계적인 작가가 된 화이트, 그의 옆에는 그림자와 같은 존재인 블랙이 있었다.
그는 일평생을 천재작가의 그늘에서 사는데..

전세계 독자들을 슬프게 만든 화이트의 죽음,
그 뒤로 언젠가부터 블랙의 소식도 사라지게 되고
블랙은 금세 사람들의 기억에서 지워져 버렸지만,
당신은 왠지 이 사건이 화이트의 죽음과 무관하지 않을 거란 생각이 들어
화이트의 방을 다시 조사하기 시작한다.",2,6,https://nabijam.com/file/theme/2_a.jpg,https://nabijam.com/layout/res/home.php?go=rev.make&s_theme_num=2,2019.9.12,0,1,0,0,0
경기,안양,나비잠 방탈출카페,범계: 호랑이 계곡,모험,3,70,"17xx년 조선 후기,
사람들의 입으로만 전해져 오는 소문,
산 속 가장 깊은 굴에 호랑이가 지키고 있는 천년초는 모든 병을 낫게한다.
아버지는 점점 병세가 악화되어가고 `나`는 떠나기 위한 채비를 한다.
""일단 세간의 모든 이야기가 모이는 주막으로 향하자 !""",2,6,https://nabijam.com/file/theme/4_a.jpg,https://nabijam.com/layout/res/home.php?go=rev.make&s_theme_num=4,2022.5.9,1.5,10,3.33,1,2.75
경기,안양,나비잠 방탈출카페,트러블,판타지,4,70,"수업이 끝나고 사물함을 열어보니 이상한 전단지가 들어있는데..
""어떤 트러블이든 깨끗하게 지워드립니다!""",2,6,https://nabijam.com/file/theme/6_a.jpg,https://nabijam.com/layout/res/home.php?go=rev.make&s_theme_num=6,2023.1.4,3.35,3,0,0,0
서울,강남,넥스트에디션 강남3호점,야근,스릴러 드라마,3,60,오늘도 야근.,2,5,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%95%BC%EA%B7%BC/theme__%E1%84%8B%E1%85%A3%E1%84%80%E1%85%B3%E1%86%AB%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%EC%95%BC%EA%B7%BC.jpg,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam3,2019.10.26,0.75,13,2.4,1.78,2.58
서울,강남,넥스트에디션 강남3호점,첫만남,드라마,4,60,좌절과 실패 그리고 찾아온 첫 만남.,2,5,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%B2%AB%EB%A7%8C%EB%82%A8/theme__%E1%84%8E%E1%85%A5%E1%86%BA%E1%84%86%E1%85%A1%E1%86%AB%E1%84%82%E1%85%A1%E1%86%B7_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%E1%84%8E%E1%85%AC%E1%84%8C%E1%85%A9%E1%86%BC%E1%84%87%E1%85%A9%E1%86%AB_%E1%84%89%E1%85%AE%E1%84%8C%E1%85%A5%E1%86%BC_%EC%B2%AB%EB%A7%8C%EB%82%A8.jpg,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam3,2019.10.26,0.5,10,4.17,0.43,1.42
서울,강남,넥스트에디션 강남3호점,마지막 일주,판타지,3,60,"올림푸스의 신인 당신
지금 당신의 마지막 일주가 시작된다.",2,5,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EB%A7%88%EC%A7%80%EB%A7%89%20%EC%9D%BC%EC%A3%BC/theme__%E1%84%86%E1%85%A1%E1%84%8C%E1%85%B5%E1%84%86%E1%85%A1%E1%86%A8%E1%84%8B%E1%85%B5%E1%86%AF%E1%84%8C%E1%85%AE_%E1%84%8C%E1%85%A5%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%85%E1%85%A3%E1%86%BC__%EB%A7%88%EC%A7%80%EB%A7%89%20%EC%9D%BC%EC%A3%BC.jpg,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam3,2019.12.17,1,5,2,0,2
서울,강남,넥스트에디션 강남3호점,크리쳐-신인류의 탄생,SF,3,65,"2030년 해양연구소 인턴연구원인 당신
당직근무 중 이상한 냄새를 맡게 되는데…",2,5,https://next-edition.s3.amazonaws.com/theme/title_image_url/%ED%81%AC%EB%A6%AC%EC%B3%90%20-%20%EC%8B%A0%EC%9D%B8%EB%A5%98%EC%9D%98%20%ED%83%84%EC%83%9D/theme__%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%84%8E%E1%85%A7_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%ED%81%AC%EB%A6%AC%EC%B3%90%20-%20%EC%8B%A0%EC%9D%B8%EB%A5%98%EC%9D%98%20%ED%83%84%EC%83%9D.jpg,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam3,2020.2.10,1.9,8,3.5,0.5,1.5
서울,강남,넥스트에디션 강남3호점,안녕하세요? 무엇을 도와드릴까요?,판타지,3,60,눈을 떠보니 낯선 풍경이 펼쳐져 있다.,2,5,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%95%88%EB%85%95%ED%95%98%EC%84%B8%EC%9A%94%3F%20%EB%AC%B4%EC%97%87%EC%9D%84%20%EB%8F%84%EC%99%80%EB%93%9C%EB%A6%B4%EA%B9%8C%EC%9A%94%3F/theme__%E1%84%86%E1%85%AE%E1%84%8B%E1%85%A5%E1%86%BA%E1%84%8B%E1%85%B3%E1%86%AF_%E1%84%8C%E1%85%A5%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%85%E1%85%A3%E1%86%BC__%EC%95%88%EB%85%95%ED%95%98%EC%84%B8%EC%9A%94%3F%20%EB%AC%B4%EC%97%87%EC%9D%84%20%EB%8F%84%EC%99%80%EB%93%9C%EB%A6%B4%EA%B9%8C%EC%9A%94%3F.jpg,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam3,2019.11.2,1,5,0,0,0
서울,강남,넥스트에디션 강남5호점,BANK RUPT (뱅크럽),로맨스,3,60,나는 오늘 이 은행을 파산시키려 합니다.,2,5,https://next-edition.s3.amazonaws.com/theme/title_image_url/BANK%20RUPT/theme__%E1%84%87%E1%85%A2%E1%86%BC%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A5%E1%86%B8_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%E1%84%8C%E1%85%A5%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%85%E1%85%A3%E1%86%BC__BANK%20RUPT.jpg,https://www.nextedition.co.kr/shops/Nextedition%20gangnam5,2020.1.23,0.7,7,2,0,0
서울,강남,넥스트에디션 강남5호점,우리동네 김선의,감성,3,60,"우리동네 제일가는?
훌륭한 의원(善醫/선의)가
?되기 위해 찾은 이곳!",2,5,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%9A%B0%EB%A6%AC%EB%8F%99%EB%84%A4%20%EA%B9%80%EC%84%A0%EC%9D%98%20%E9%87%91%E5%96%84%E9%86%AB/theme__%E1%84%8B%E1%85%AE%E1%84%85%E1%85%B5%E1%84%83%E1%85%A9%E1%86%BC%E1%84%82%E1%85%A6_%E1%84%80%E1%85%B5%E1%86%B7%E1%84%89%E1%85%A5%E1%86%AB%E1%84%8B%E1%85%B4_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%E1%84%8C%E1%85%A5%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%85%E1%85%A3%E1%86%BC__%EC%9A%B0%EB%A6%AC%EB%8F%99%EB%84%A4%20%EA%B9%80%EC%84%A0%EC%9D%98%20%E9%87%91%E5%96%84%E9%86%AB.jpg,https://www.nextedition.co.kr/shops/Nextedition%20gangnam5,2020.1.23,2.65,19,2.35,0.44,1.25
서울,강남,넥스트에디션 강남5호점,그래도 피망은 먹기 싫단 말이에욧,기타,4,60,고기좋은데..힝,1,5,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EA%B7%B8%EB%9E%98%EB%8F%84%20%ED%94%BC%EB%A7%9D%EC%9D%80%20%EB%A8%B9%EA%B8%B0%20%EC%8B%AB%EB%8B%A8%20%EB%A7%90%EC%9D%B4%EC%97%90%EC%9A%A7/poster_theme__%E1%84%91%E1%85%B5%E1%84%86%E1%85%A1%E1%86%BC_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%E1%84%89%E1%85%AE%E1%84%8C%E1%85%A5%E1%86%BC_%E1%84%8C%E1%85%A5%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%85%E1%85%A3%E1%86%BC__%EA%B7%B8%EB%9E%98%EB%8F%84%20%ED%94%BC%EB%A7%9D%EC%9D%80%20%EB%A8%B9%EA%B8%B0%20%EC%8B%AB%EB%8B%A8%20%EB%A7%90%EC%9D%B4%EC%97%90%EC%9A%A7.jpg,https://www.nextedition.co.kr/shops/Nextedition%20gangnam5,2020.3.1,3.5,33,3.11,0.07,3.11
서울,강남,넥스트에디션 강남5호점,SOS,기타,5,70,"꿈에 그리던
오로라를 보러갑니다",2,5,https://next-edition.s3.amazonaws.com/theme/title_image_url/SOS/theme__SOS_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%E1%84%89%E1%85%AE%E1%84%8C%E1%85%A5%E1%86%BC_%E1%84%8C%E1%85%A5%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%85%E1%85%A3%E1%86%BC__SOS.jpg,https://www.nextedition.co.kr/shops/Nextedition%20gangnam5,2020.3.23,2.5,8,4.5,0.17,2.75
서울,강남,넥스트에디션 강남점,Memory - Episode 1,스릴러 공포,3,60,"XXXX년 X월 X일
기억..나니?
'조금만 더.. 조금만 더 있으면
그날의 기억을 찾을 수 있어...'",2,4,https://next-edition.s3.amazonaws.com/theme/title_image_url/MEMORY%20-%20Episode%201/theme__%E1%84%86%E1%85%A6%E1%84%86%E1%85%A9%E1%84%85%E1%85%B5-%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5-%E1%84%8E%E1%85%AC%E1%84%8C%E1%85%A9%E1%86%BC_%E1%84%8C%E1%85%A5%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%85%E1%85%A3%E1%86%BC__MEMORY%20-%20Episode%201.jpg,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,2019.4.13,1.1,23,2.66,2.84,1.86
서울,강남,넥스트에디션 강남점,완전한 사랑(리뉴얼),로맨스,3,60,"오랫만에 온 너의 연락이 너무 반가웠어.
어쩌면...
다시 너에게 연락이 오길 기다렸을지 몰라
빨리! 널 만나고 싶다!",2,4,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%99%84%EC%A0%84%ED%95%9C%EC%82%AC%EB%9E%91(%EB%A6%AC%EB%89%B4%EC%96%BC)/theme__%E1%84%8B%E1%85%AA%E1%86%AB%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%92%E1%85%A1%E1%86%AB%E1%84%89%E1%85%A1%E1%84%85%E1%85%A1%E1%86%BC-%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%EC%99%84%EC%A0%84%ED%95%9C%EC%82%AC%EB%9E%91(%EB%A6%AC%EB%89%B4%EC%96%BC).jpg,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,2020.5.30,0.9,11,2.4,1.52,2.06
서울,강남,넥스트에디션 강남점,흐린 날,드라마,3,60,"오늘도... 비가 올거 같네요.
날씨만 흐려지면...
그사람 생각에... 가슴이 먹먹해지고...
때로는 너무나 화가 납니다.
언제쯤 이 아픔이 사라질까요.",2,4,https://next-edition.s3.amazonaws.com/theme/title_image_url/%ED%9D%90%EB%A6%B0%EB%82%A0/theme__%E1%84%92%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%82%E1%85%A1%E1%86%AF_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%E1%84%89%E1%85%AE%E1%84%8C%E1%85%A5%E1%86%BC_%ED%9D%90%EB%A6%B0%EB%82%A0.jpg,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,2019.4.2,2,5,2.7,0,1
서울,강남,넥스트에디션 강남점,카르텔,?,4,70,"해충방역 업체 청년창업자!
야심차게 해충을 박멸하러 했지만,
어느날 부터 갑자기 일이 들어오지 않는다.
그 이유를 찾기 위해
대기업 넥스코를 조사하러 위장 취업하게 되는데....",2,4,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%B9%B4%EB%A5%B4%ED%85%94/theme__%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2019-03-11_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_1.01.28_%EC%B9%B4%EB%A5%B4%ED%85%94.jpg,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,2019.4.2,2.5,12,4.1,0.96,4.38
서울,강남,넥스트에디션 강남점,저니 (JOURNEY),드라마,3,60,"Journey [?d??ːrni]
1. (특히 멀리가는) 여행?
2. (특히 장거리를) 여행하다.",2,4,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%A0%80%EB%8B%88(JOURNEY)/theme__%E1%84%8C%E1%85%A5%E1%84%82%E1%85%B5_%E1%84%8E%E1%85%AC%E1%84%8C%E1%85%A9%E1%86%BC_%EC%A0%80%EB%8B%88(JOURNEY).jpg,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,2019.9.10,0.65,8,3.75,0,2.25
